scenario_id,episode_id,t,demand,order,inventory,reward
simple_test,0,0,5,22.915298461914062,37.91529846191406,-18.95764923095703
simple_test,0,1,8,13.360458374023438,43.2757568359375,-21.63787841796875
simple_test,0,2,16,3.902527332305908,31.178284168243408,-15.589142084121704
simple_test,0,3,5,10.656476020812988,36.8347601890564,-18.4173800945282
simple_test,0,4,4,3.4699974060058594,36.304757595062256,-18.152378797531128
simple_test,0,5,1,17.36307144165039,52.66782903671265,-26.333914518356323
simple_test,0,6,11,49.368431091308594,91.03626012802124,-45.51813006401062
simple_test,0,7,0,49.87666702270508,140.91292715072632,-70.45646357536316
simple_test,0,8,7,22.784177780151367,156.69710493087769,-78.34855246543884
simple_test,0,9,0,49.69276428222656,206.38986921310425,-103.19493460655212
simple_test,0,10,6,9.14163875579834,209.5315079689026,-104.7657539844513
simple_test,0,11,7,26.664234161376953,229.19574213027954,-114.59787106513977
simple_test,0,12,1,31.77178382873535,259.9675259590149,-129.98376297950745
simple_test,0,13,10,6.429357051849365,256.39688301086426,-128.19844150543213
simple_test,0,14,13,20.607433319091797,264.00431632995605,-132.00215816497803
simple_test,0,15,6,13.148032188415527,271.1523485183716,-135.5761742591858
simple_test,0,16,0,48.08872604370117,319.24107456207275,-159.62053728103638
simple_test,0,17,18,18.911924362182617,320.15299892425537,-160.07649946212769
simple_test,0,18,16,11.669114112854004,315.8221130371094,-157.9110565185547
simple_test,0,19,18,9.61483383178711,307.4369468688965,-153.71847343444824
simple_test,0,20,7,25.948881149291992,326.3858280181885,-163.19291400909424
simple_test,0,21,3,6.909108638763428,330.2949366569519,-165.14746832847595
simple_test,0,22,6,41.211551666259766,365.50648832321167,-182.75324416160583
simple_test,0,23,12,34.794525146484375,388.30101346969604,-194.15050673484802
simple_test,0,24,12,27.445362091064453,403.7463755607605,-201.87318778038025
simple_test,0,25,17,35.711029052734375,422.4574046134949,-211.22870230674744
simple_test,0,26,6,18.770353317260742,435.2277579307556,-217.6138789653778
simple_test,0,27,0,24.645336151123047,459.87309408187866,-229.93654704093933
simple_test,0,28,3,1.7211532592773438,458.594247341156,-229.297123670578
simple_test,0,29,10,1.9909346103668213,450.5851819515228,-225.2925909757614
simple_test,0,30,8,33.013710021972656,475.5988919734955,-237.79944598674774
simple_test,0,31,5,4.52546501159668,475.12435698509216,-237.56217849254608
simple_test,0,32,9,45.164398193359375,511.28875517845154,-255.64437758922577
simple_test,0,33,9,11.03695011138916,513.3257052898407,-256.66285264492035
simple_test,0,34,18,22.13599967956543,517.4617049694061,-258.73085248470306
simple_test,0,35,13,41.75088882446289,546.212593793869,-273.1062968969345
simple_test,0,36,19,7.904446601867676,535.1170403957367,-267.55852019786835
simple_test,0,37,3,35.519248962402344,567.636289358139,-283.8181446790695
simple_test,0,38,7,16.490568161010742,577.1268575191498,-288.5634287595749
simple_test,0,39,5,3.16426420211792,575.2911217212677,-287.64556086063385
simple_test,0,40,1,42.795101165771484,617.0862228870392,-308.5431114435196
simple_test,0,41,2,18.980236053466797,634.066458940506,-317.033229470253
simple_test,0,42,3,45.99827194213867,677.0647308826447,-338.5323654413223
simple_test,0,43,1,31.511117935180664,707.5758488178253,-353.78792440891266
simple_test,0,44,4,3.278677225112915,706.8545260429382,-353.4272630214691
simple_test,0,45,10,32.90192794799805,729.7564539909363,-364.87822699546814
simple_test,0,46,16,41.21683883666992,754.9732928276062,-377.4866464138031
simple_test,0,47,0,36.040283203125,791.0135760307312,-395.5067880153656
simple_test,0,48,9,41.18772888183594,823.2013049125671,-411.60065245628357
simple_test,0,49,4,6.951275825500488,826.1525807380676,-413.0762903690338
